Date,File_count,Word Count_mean,Positive_mean,Negative_mean,sentiment_score_economic_mean,sentiment_score_economic_median,sentiment_score_economic_std
2010-05,8,1900.375,187.5,94.625,43.04375000000002,24.662500000000023,43.147156316659945
2010-06,8,1807.875,156.0,91.875,25.675,25.437500000000014,22.79845311168532
2010-07,3,1080.0,108.33333333333333,30.666666666666668,31.016666666666666,32.925000000000004,20.279952128477355
2010-08,4,2459.75,189.0,127.5,39.33124999999997,36.53749999999996,30.483324505648408
2010-09,7,1766.857142857143,152.0,101.14285714285714,17.22142857142857,17.525000000000002,18.762514871032458
2010-10,6,2132.3333333333335,183.16666666666666,135.0,16.295833333333327,16.624999999999996,12.420561749239324
2010-11,7,2002.5714285714287,185.42857142857142,124.71428571428571,24.574999999999996,10.925000000000002,23.563071390065698
2010-12,4,2090.75,157.0,99.5,24.906249999999986,18.5,20.883450136012783
2011-01,4,3281.5,247.5,149.5,48.38124999999998,32.81250000000001,48.15365759299421
2011-02,6,2037.0,159.16666666666666,102.66666666666667,26.024999999999995,26.362499999999997,12.494028573682703
2011-03,7,1967.0,170.42857142857142,113.57142857142857,23.392857142857135,15.450000000000005,35.3218319949035
2011-04,8,2184.5,176.625,112.25,30.29375,34.04999999999998,22.408718607784273
2011-05,6,1914.8333333333333,206.66666666666666,69.83333333333333,56.691666666666684,48.00000000000003,33.622223553278964
2011-06,8,2291.875,178.5,130.875,14.949999999999996,12.424999999999994,13.069969668781065
2011-08,3,2171.3333333333335,163.66666666666666,130.33333333333334,20.40833333333333,22.525,11.842728078163972
2011-09,8,2223.5,192.625,121.5,32.85312500000001,16.912499999999994,41.272670042180636
2011-10,5,2634.2,220.6,169.2,16.579999999999977,20.450000000000003,35.3583061316574
2011-11,8,2025.375,180.0,111.125,25.49375,28.275000000000006,21.416764753342175
2011-12,2,2524.0,172.5,108.0,32.83749999999999,32.83749999999999,31.413218754212362
2012-01,7,2735.0,223.0,137.85714285714286,32.557142857142864,20.6,35.95079888509003
2012-02,1,2340.0,259.0,87.0,71.47499999999991,71.47499999999991,
2012-03,7,1732.2857142857142,136.57142857142858,96.28571428571429,15.021428571428544,17.999999999999996,47.096106147809245
2012-04,7,2638.4285714285716,209.42857142857142,180.42857142857142,-1.2785714285714473,4.350000000000007,37.9010263399165
2012-05,3,2150.6666666666665,185.33333333333334,148.0,7.058333333333331,12.375000000000009,12.248375742658018
2012-06,4,3054.25,242.0,176.0,27.95,21.312500000000018,18.22353103362059
2012-07,3,1456.3333333333333,139.0,70.66666666666667,29.89999999999999,26.124999999999982,7.601439008503591
2012-08,5,2286.0,162.4,97.4,32.91,32.27499999999999,14.464888523593945
2012-09,2,2667.5,187.5,133.0,37.56250000000001,37.56250000000001,30.812177990203814
2012-10,8,2902.0,210.5,134.625,31.70625,27.3375,22.245680760543156
2012-11,6,2923.0,243.5,150.0,34.20416666666667,30.937500000000018,31.873756511692587
2012-12,4,2253.25,168.25,106.5,29.53125,29.037499999999987,15.847665114562876
2013-01,3,3946.0,292.0,195.33333333333334,33.33333333333325,11.225,63.58844398421235
2013-02,6,2976.6666666666665,246.83333333333334,174.66666666666666,23.81666666666666,21.687500000000007,26.223194249874794
2013-03,8,2971.5,218.375,160.25,23.290625000000002,27.60000000000001,23.51752362411301
